return_id,order_item_id,customer_id,return_date,return_status,return_reason,refund_amount,refund_reference
282,115056,131536,27-04-2026,Rejected,Item damaged in transit,635.22,REF2826850
283,68230,25941,01-06-2026,Approved,Size/fit issue,636.76,REF2834723
284,429514,71107,29-05-2024,Refunded,Defective item,53.68,REF2841265
285,575473,111062,11-08-2023,Refunded,Size/fit issue,1850.22,
286,539717,170777,10-02-2025,Requested,Item damaged in transit,207.68,REF2869609
287,399473,197174,13-12-2023,Approved,,5551.41,REF2872378
288,1030,2262,24-11-2025,Approved,Defective item,7849.6,REF2884420
289,633800,121617,26-05-2025,Refunded,,3355.06,REF2899378
290,705869,126522,22-07-2023,Approved,Wrong item received,265.82,
291,622898,198662,15-04-2026,Rejected,Better price found,1836.56,
292,184707,127898,30-09-2025,Approved,No longer needed,729.32,REF2927886
293,94913,191630,24-06-2024,Approved,No longer needed,1077.43,REF2939232
294,58949,53185,10-05-2026,Refunded,Item damaged in transit,1917.18,REF2946989
295,323320,107686,24-05-2026,Rejected,Defective item,426.76,REF2959514
296,111927,155148,12-03-2026,Refunded,No longer needed,4021.25,REF2961151
297,672460,196540,05-02-2023,Refunded,No longer needed,7580.84,REF2971816
298,724216,11240,07-07-2024,Refunded,No longer needed,1959.88,REF2987840
299,306974,177080,23-10-2023,Approved,Size/fit issue,7695.9,REF2991635
300,105949,46148,12-01-2026,Refunded,,1434.41,REF3003796
301,458125,62338,28-11-2025,Approved,Defective item,4655.61,REF3014766
302,861120,37587,26-04-2025,Requested,Item damaged in transit,5488.15,REF3025512
303,916763,52959,30-11-2024,Refunded,Size/fit issue,312.49,REF3032558
304,590962,95434,28-06-2023,Refunded,No longer needed,6260.9,REF3043502
305,28252,166353,12-10-2025,Rejected,Defective item,524.19,
306,844516,102111,25-11-2023,Rejected,Better price found,2543.2,REF3063101
307,233537,69978,01-03-2026,Refunded,Better price found,4261.7,REF3078091
308,449736,157243,10-05-2026,Refunded,No longer needed,1141.81,REF3081667
309,983803,168311,29-06-2026,Approved,,5175.81,REF3093090
310,136666,88993,03-03-2026,Refunded,Size/fit issue,114.56,REF3106393
311,138284,91545,06-08-2024,Rejected,Better price found,6366,REF3114772
312,590300,3401,26-01-2025,Approved,,485.6,REF3122583
313,661950,96912,05-08-2024,Refunded,Wrong item received,4751.91,REF3138643
314,822536,114171,11-09-2023,Refunded,No longer needed,362.72,
315,488461,196685,09-08-2024,Approved,Item damaged in transit,1222.4,REF3152539
316,264144,117591,12-03-2024,Approved,Item damaged in transit,3707,REF3161370
317,60336,78163,21-11-2023,Approved,Better price found,3231.24,REF3177745
318,944470,186458,25-04-2024,Refunded,Better price found,1238.46,REF3186017
319,620048,63936,13-02-2023,Requested,Wrong item received,3901.58,
320,473795,198320,07-06-2023,Refunded,Better price found,2687.7,REF3204248
321,472250,111420,17-04-2025,Refunded,Wrong item received,1045.14,REF3213783
322,298609,118915,03-01-2026,Approved,Item damaged in transit,7198.64,REF3222739
323,339202,40069,06-01-2026,Approved,,5808.9,REF3233363
324,468935,53096,07-04-2023,Refunded,Defective item,940.56,REF3241388
325,296677,110456,07-09-2024,Refunded,Wrong item received,7064.65,REF3257347
326,380076,39012,02-10-2024,Requested,Wrong item received,6283.56,REF3265126
327,381839,129645,11-10-2025,Approved,Item damaged in transit,635.43,REF3279715
328,741607,129945,14-12-2025,Requested,Item damaged in transit,1474.05,REF3281086
329,197716,97277,11-08-2024,Refunded,Size/fit issue,5393.3,REF3293005
330,854414,138536,21-08-2025,Refunded,Wrong item received,1640.16,REF3301733
331,347147,187146,07-03-2023,Refunded,Wrong item received,2962,REF3313156
332,875307,64672,11-01-2024,Refunded,Wrong item received,1551.7,REF3325195
333,625900,96977,13-05-2026,Approved,No longer needed,1119.3,REF3331420
334,468779,34496,17-05-2026,Refunded,No longer needed,1881.55,
335,525058,15105,28-05-2024,Refunded,Item damaged in transit,2056.16,REF3359725
336,496735,23639,01-08-2024,Refunded,Wrong item received,3951.72,REF3365680
337,47348,135564,19-02-2026,Approved,Better price found,3316.8,REF3374241
338,493549,186768,25-01-2024,Refunded,No longer needed,110.12,REF3385453
339,2030,145747,26-09-2024,Rejected,No longer needed,1046.32,REF3392917
340,69672,60785,17-07-2023,Refunded,No longer needed,8225.45,REF3407230
341,64018,7590,08-08-2023,Rejected,Wrong item received,1911.38,REF3418791
342,891896,52026,02-08-2025,Refunded,No longer needed,229.41,REF3423593
343,119865,64010,08-11-2024,Refunded,Wrong item received,4897.59,REF3434264
344,350874,89109,02-11-2024,Approved,No longer needed,4646.56,REF3443234
345,424321,95058,16-08-2024,Requested,No longer needed,2816.65,REF3457601
346,301825,12352,01-03-2025,Rejected,Item damaged in transit,64.65,REF3464109
347,654415,86862,05-05-2026,Approved,Item damaged in transit,1701.51,REF3477161
348,678155,187520,08-11-2025,Refunded,No longer needed,4250.16,REF3481905
349,679726,161444,29-06-2023,Requested,Defective item,9216.3,REF3492627
350,51090,79645,28-06-2025,Refunded,Wrong item received,2125.68,REF3504479
351,597938,109981,18-09-2024,Approved,No longer needed,4354.5,REF3515171
352,222813,36486,09-05-2025,Approved,Better price found,1590.36,REF3525122
353,379632,18523,01-07-2026,Approved,No longer needed,1119.25,REF3533704
354,632783,138241,18-07-2023,Approved,Wrong item received,2642.7,REF3544952
355,770717,18079,07-08-2026,Refunded,Item damaged in transit,868.19,REF3551693
356,937425,195947,28-03-2024,Refunded,,8970.45,REF3565391
357,512846,136295,26-07-2023,Approved,Better price found,4943.88,REF3575336
358,669083,130409,29-01-2024,Refunded,Wrong item received,4640.82,REF3581923
359,499122,75075,23-10-2025,Refunded,Wrong item received,2072.52,REF3593701
360,707210,191586,23-01-2026,Refunded,No longer needed,4307,REF3604223
361,58187,66290,05-09-2025,Rejected,Defective item,4051.92,REF3611306
362,785241,88424,18-06-2024,Requested,,867.13,REF3626637
363,624251,117761,14-08-2026,Refunded,Better price found,1587.93,REF3632117
364,439845,25877,06-07-2023,Requested,Better price found,5959.95,REF3642935
365,731457,570,13-11-2025,Approved,,3418.38,REF3651036
366,441314,199224,27-07-2024,Approved,Better price found,1827.56,REF3663321
367,834916,119921,23-05-2025,Approved,Better price found,3572.16,REF3673181
368,358182,71859,29-07-2025,Rejected,Better price found,750.66,REF3682588
369,945335,63443,13-06-2024,Approved,Wrong item received,3337.85,REF3694253
370,751911,154398,15-01-2025,Refunded,Defective item,62.27,REF3709584
371,954639,191856,14-01-2024,Approved,,889.21,REF3713056
372,405721,64930,08-11-2023,Refunded,Size/fit issue,306.48,REF3721024
373,238158,172291,27-01-2023,Refunded,Better price found,1840.22,REF3738230
374,997804,122981,21-11-2025,Refunded,No longer needed,3757.53,REF3749348
375,574304,155520,11-06-2025,Requested,Item damaged in transit,3676.54,REF3755554
376,831763,48528,08-12-2025,Refunded,Size/fit issue,3740.75,REF3765684
377,564218,158555,08-04-2023,Requested,Size/fit issue,8520.4,REF3779558
378,686334,104751,16-02-2026,Refunded,No longer needed,3247.59,REF3785919
379,502,39515,14-01-2023,Approved,,3742.17,REF3798882
380,47554,168373,16-06-2025,Refunded,,6794.32,REF3808567
381,838671,62111,15-12-2025,Approved,No longer needed,3202.59,REF3813655
382,808885,72461,31-01-2024,Refunded,Size/fit issue,71.5,REF3825110
383,570882,115752,29-02-2024,Approved,No longer needed,1240.3,REF3836218
384,910339,156070,02-02-2024,Refunded,,1929.53,REF3843070
385,525882,49081,08-12-2025,Refunded,Wrong item received,3622.32,REF3859648
386,214718,81798,04-05-2025,Refunded,No longer needed,2098.32,REF3867335
387,482135,14728,28-03-2026,Approved,Defective item,894.52,
388,125765,197572,07-04-2025,Refunded,Item damaged in transit,7160.4,REF3889214
